[T:25008] LOCAL | ACC: 0.0021 0.0048 -0.0600 | GYR: 0.3944 1.7264 -0.0638
[T:45010] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.4440 1.6120 -0.0400
[T:65019] LOCAL | ACC: 0.0023 0.0049 -0.0600 | GYR: 0.4345 1.7083 -0.0867
[T:85014] LOCAL | ACC: 0.0023 0.0049 -0.0602 | GYR: 0.4421 1.6883 -0.0829
[T:105012] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4754 1.6845 -0.0829
[T:25013] LOCAL | ACC: 0.0022 0.0050 -0.0603 | GYR: 0.4163 1.7454 -0.0829
[T:45012] LOCAL | ACC: 0.0022 0.0050 -0.0601 | GYR: 0.3468 1.7035 -0.1048
[T:65019] LOCAL | ACC: 0.0023 0.0050 -0.0602 | GYR: 0.3678 1.7759 -0.1362
[T:85016] LOCAL | ACC: 0.0022 0.0049 -0.0604 | GYR: 0.3754 1.7216 -0.1019
[T:105018] LOCAL | ACC: 0.0022 0.0050 -0.0602 | GYR: 0.4364 1.7359 -0.0724
[T:125019] LOCAL | ACC: 0.0022 0.0049 -0.0602 | GYR: 0.4287 1.7416 -0.0638
[T:145024] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4325 1.6721 -0.1267
[T:165025] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.4097 1.6864 -0.0886
[T:185021] LOCAL | ACC: 0.0023 0.0048 -0.0604 | GYR: 0.3963 1.6987 -0.1200
[T:205025] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.3782 1.7140 -0.0829
[T:225023] LOCAL | ACC: 0.0021 0.0055 -0.0616 | GYR: 0.4735 1.7264 -0.0534
[T:245022] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.4163 1.7864 -0.1248
[T:265025] LOCAL | ACC: 0.0022 0.0049 -0.0600 | GYR: 0.4316 1.7130 -0.0772
[T:285030] LOCAL | ACC: 0.0019 0.0048 -0.0602 | GYR: 0.3916 1.7330 -0.0867
[T:305030] LOCAL | ACC: 0.0022 0.0049 -0.0604 | GYR: 0.4154 1.7188 -0.0696
[T:325029] LOCAL | ACC: 0.0023 0.0048 -0.0602 | GYR: 0.3982 1.7197 -0.1220
[T:345035] LOCAL | ACC: 0.0021 0.0048 -0.0602 | GYR: 0.4116 1.6597 -0.0791
[T:365034] LOCAL | ACC: 0.0022 0.0048 -0.0604 | GYR: 0.4154 1.7597 -0.0867
[T:385036] LOCAL | ACC: 0.0020 0.0048 -0.0608 | GYR: 0.4021 1.7302 -0.0686
[T:405034] LOCAL | ACC: 0.0022 0.0048 -0.0605 | GYR: 0.4535 1.6416 -0.0629
[T:25747] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.3049 1.7388 -0.1038
[T:45801] LOCAL | ACC: 0.0019 0.0050 -0.0603 | GYR: 0.3077 1.6987 -0.0848
[T:65828] LOCAL | ACC: 0.0019 0.0050 -0.0600 | GYR: 0.3344 1.7797 -0.0400
[T:85861] LOCAL | ACC: 0.0021 0.0050 -0.0601 | GYR: 0.3582 1.7578 -0.0734
[T:105936] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.3068 1.7550 -0.0753
[T:125974] LOCAL | ACC: 0.0020 0.0049 -0.0605 | GYR: 0.3563 1.7426 -0.1172
[T:146007] LOCAL | ACC: 0.0022 0.0049 -0.0602 | GYR: 0.3392 1.7302 -0.0514
[T:166040] LOCAL | ACC: 0.0018 0.0049 -0.0601 | GYR: 0.3973 1.7188 -0.0829
[T:186074] LOCAL | ACC: 0.0020 0.0049 -0.0601 | GYR: 0.3468 1.7264 -0.0772
[T:206108] LOCAL | ACC: 0.0021 0.0049 -0.0600 | GYR: 0.3468 1.7149 -0.1086
[T:226141] LOCAL | ACC: 0.0019 0.0049 -0.0601 | GYR: 0.3230 1.7521 -0.1048
[T:246174] LOCAL | ACC: 0.0020 0.0049 -0.0603 | GYR: 0.3449 1.7349 -0.0743
[T:266211] LOCAL | ACC: -0.0040 0.0063 -0.0602 | GYR: -0.2058 2.8601 -6.5587
[T:286244] LOCAL | ACC: 0.0035 0.0053 -0.0600 | GYR: 0.2115 1.8559 -0.1210
[T:306277] LOCAL | ACC: 0.0034 0.0054 -0.0599 | GYR: 0.2039 1.8197 -0.1267
[T:326310] LOCAL | ACC: 0.0035 0.0053 -0.0599 | GYR: 0.1925 1.8636 -0.1315
[T:346343] LOCAL | ACC: 0.0035 0.0050 -0.0603 | GYR: 0.2039 1.8359 -0.0962
[T:366377] LOCAL | ACC: 0.0035 0.0055 -0.0602 | GYR: 0.2687 1.8645 -0.0810
[T:386410] LOCAL | ACC: 0.0033 0.0050 -0.0600 | GYR: 0.2611 1.8807 -0.0734
[T:406447] LOCAL | ACC: 0.0033 0.0049 -0.0602 | GYR: 0.2563 1.7978 -0.1048
[T:426480] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.2268 1.8378 -0.0696
[T:446514] LOCAL | ACC: 0.0032 0.0052 -0.0603 | GYR: 0.2449 1.8369 -0.0753
[T:466547] LOCAL | ACC: 0.0031 0.0049 -0.0603 | GYR: 0.2277 1.8312 -0.0934
[T:486581] LOCAL | ACC: 0.0032 0.0052 -0.0602 | GYR: 0.2144 1.7302 -0.0838
[T:506626] LOCAL | ACC: 0.0032 0.0050 -0.0601 | GYR: 0.2611 1.7654 -0.1096
[T:526663] LOCAL | ACC: 0.0031 0.0049 -0.0601 | GYR: 0.2401 1.7893 -0.0657
[T:546695] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.2582 1.7778 -0.1058
[T:566728] LOCAL | ACC: 0.0032 0.0049 -0.0602 | GYR: 0.2506 1.7121 -0.0800
[T:586761] LOCAL | ACC: 0.0031 0.0050 -0.0603 | GYR: 0.2811 1.7769 -0.0800
[T:606794] LOCAL | ACC: 0.0035 0.0049 -0.0604 | GYR: 0.2944 1.7464 -0.0619
[T:626826] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.2830 1.7578 -0.0238
[T:646859] LOCAL | ACC: 0.0032 0.0053 -0.0602 | GYR: 0.2887 1.7492 -0.0553
[T:666896] LOCAL | ACC: 0.0034 0.0055 -0.0600 | GYR: 0.2820 1.7702 -0.0972
[T:686929] LOCAL | ACC: 0.0033 0.0049 -0.0604 | GYR: 0.3163 1.7635 -0.0905
[T:706964] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.2563 1.7302 -0.0838
[T:726998] LOCAL | ACC: 0.0035 0.0049 -0.0601 | GYR: 0.3135 1.7893 -0.1019
[T:747031] LOCAL | ACC: 0.0034 0.0052 -0.0602 | GYR: 0.2611 1.7692 -0.1334
[T:767064] LOCAL | ACC: 0.0034 0.0051 -0.0601 | GYR: 0.2973 1.7188 -0.0962
[T:787098] LOCAL | ACC: 0.0033 0.0049 -0.0601 | GYR: 0.3335 1.7302 -0.1048
[T:807135] LOCAL | ACC: 0.0034 0.0049 -0.0602 | GYR: 0.3306 1.7397 -0.1115
[T:827169] LOCAL | ACC: 0.0034 0.0049 -0.0599 | GYR: 0.3173 1.7788 -0.1058
[T:847202] LOCAL | ACC: 0.0032 0.0052 -0.0601 | GYR: 0.3192 1.7397 -0.0857
[T:867236] LOCAL | ACC: 0.0035 0.0050 -0.0602 | GYR: 0.3049 1.7245 -0.0657
[T:887271] LOCAL | ACC: 0.0034 0.0052 -0.0599 | GYR: 0.3296 1.7950 -0.1124
[T:907305] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3163 1.7264 -0.0762
[T:927338] LOCAL | ACC: 0.0036 0.0049 -0.0602 | GYR: 0.3135 1.7330 -0.1048
[T:947390] LOCAL | ACC: 0.0032 0.0049 -0.0601 | GYR: 0.2906 1.7712 -0.1172
[T:967424] LOCAL | ACC: 0.0035 0.0049 -0.0600 | GYR: 0.2772 1.7635 -0.0553
[T:987458] LOCAL | ACC: 0.0034 0.0049 -0.0600 | GYR: 0.3382 1.7578 -0.0905
[T:1007502] LOCAL | ACC: 0.0037 0.0048 -0.0602 | GYR: 0.3411 1.7349 -0.1305
[T:1027535] LOCAL | ACC: 0.0036 0.0051 -0.0602 | GYR: 0.3430 1.7188 -0.0838
[T:1047569] LOCAL | ACC: 0.0028 0.0052 -0.0603 | GYR: 0.3268 1.7188 -0.1172
[T:1067609] LOCAL | ACC: 0.0033 0.0049 -0.0601 | GYR: 0.3706 1.8007 -0.1096
[T:1087642] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3344 1.7864 -0.0838
[T:1107675] LOCAL | ACC: 0.0034 0.0049 -0.0601 | GYR: 0.3449 1.7578 -0.0600
[T:1127721] LOCAL | ACC: 0.0034 0.0054 -0.0602 | GYR: 0.3544 1.7349 -0.0648
