[2026-04-07 22:11:07] LOCAL | ACC: 0.0024 0.0052 -0.0605 | GYR: 0.5192 1.6806 -0.0448
[2026-04-07 22:11:27] LOCAL | ACC: 0.0025 0.0047 -0.0601 | GYR: 0.5116 1.6778 -0.0581
[2026-04-07 22:11:47] LOCAL | ACC: 0.0024 0.0049 -0.0603 | GYR: 0.5183 1.7178 -0.0638
[2026-04-07 22:12:07] LOCAL | ACC: 0.0023 0.0048 -0.0601 | GYR: 0.5316 1.7111 -0.0629
[2026-04-07 22:12:27] LOCAL | ACC: 0.0023 0.0050 -0.0602 | GYR: 0.5011 1.6482 -0.0372
[2026-04-07 22:12:47] LOCAL | ACC: 0.0023 0.0048 -0.0603 | GYR: 0.5526 1.7254 -0.1029
[2026-04-07 22:13:07] LOCAL | ACC: 0.0025 0.0050 -0.0602 | GYR: 0.4945 1.7588 -0.0572
[2026-04-07 22:13:27] LOCAL | ACC: 0.0022 0.0047 -0.0600 | GYR: 0.4821 1.6768 -0.0810
[2026-04-07 22:06:06] LOCAL | ACC: 0.0021 0.0048 -0.0600 | GYR: 0.3944 1.7264 -0.0638
[2026-04-07 22:06:26] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.4440 1.6120 -0.0400
[2026-04-07 22:06:46] LOCAL | ACC: 0.0023 0.0049 -0.0600 | GYR: 0.4345 1.7083 -0.0867
[2026-04-07 22:07:06] LOCAL | ACC: 0.0023 0.0049 -0.0602 | GYR: 0.4421 1.6883 -0.0829
[2026-04-07 22:07:26] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4754 1.6845 -0.0829
[2026-04-07 22:06:06] LOCAL | ACC: 0.0022 0.0050 -0.0603 | GYR: 0.4163 1.7454 -0.0829
[2026-04-07 22:06:26] LOCAL | ACC: 0.0022 0.0050 -0.0601 | GYR: 0.3468 1.7035 -0.1048
[2026-04-07 22:06:46] LOCAL | ACC: 0.0023 0.0050 -0.0602 | GYR: 0.3678 1.7759 -0.1362
[2026-04-07 22:07:06] LOCAL | ACC: 0.0022 0.0049 -0.0604 | GYR: 0.3754 1.7216 -0.1019
[2026-04-07 22:07:26] LOCAL | ACC: 0.0022 0.0050 -0.0602 | GYR: 0.4364 1.7359 -0.0724
